Abilene,115930
Akron,217074
Albany,93994
Albuquerque,448607
Alexandria,128283
Allentown,106632
Amarillo,173627
Anaheim,328014
Anchorage,260283
Ann Arbor,114024
Arden-Arcade,92040
Arlington,332969
Arlington,174838
Arvada,102153
Athens-Clarke County,101489
Atlanta,416474
Augusta-Richmond County,199775
Aurora,276393
Aurora,142990
Austin,656562
Bakersfield,247057
Baltimore,651154
Baton Rouge,227818
Beaumont,113866
Bellevue,109569
Berkeley,102743
Billings,92988
Birmingham,242820
Boise City,185787
Boston,589141
Boulder,91238
